Domain,CountryCode,BackLinks_viaplay.com,BackLinks_youtube.com,BackLinks_voyo.nova.cz
apple.com,US,17,0,2
yahoo.com,US,1,964989,0
spotify.com,US,62,442092,0
blogspot.com,IN,6,15660003,2
uefa.com,NL,21,0,84
cosmopolitan.com,US,1,331493,0
digitaltrends.com,US,5,233424,0
express.co.uk,US,4,267239,0
sme.sk,US,0,279431,1
trendhunter.com,US,1,343308,0
digitalspy.com,US,1,271230,0
hn.cz,CZ,0,377322,3
geenstijl.nl,US,1118,672102,0
heureka.cz,US,0,382339,6
tvmaze.com,DE,4,0,8
fcupdate.nl,NL,166,286599,0
fok.nl,US,34,300414,0
pdc.tv,US,2,270208,0
thepinknews.com,US,1,234921,0
ferrarichat.com,US,1,696349,0
fourfourtwo.com,US,2,255604,0
ivacy.com,US,4,0,1
snooker.org,US,27,296568,0
wrestlinginc.com,US,2,259605,0
redandwhitekop.com,DE,47,327242,0
pozary.cz,CZ,0,224225,1
musicserver.cz,CZ,0,1303956,8
guardatv.it,NL,4,0,52
czechbowling.cz,CZ,0,399414,1
regarddirect.fr,NL,4,0,52
mancityfans.net,UK,7,0,4
lonradio.nl,US,3,0,1
spartaforever.cz,CZ,0,264778,1
newsifier.com,US,6,260204,0
jenzeny.cz,CZ,0,226388,1
cineuropa.org,UK,51,0,8
startrek.cz,CZ,0,347546,42
hokejkv.cz,CZ,0,239430,2
filmserver.cz,CZ,0,407606,27
kodi.tv,US,3,272767,0
itbiz.cz,CZ,0,255793,1
policie.gov.cz,CZ,0,392640,3
couchpop.com,UK,0,893964,3
cheatsheet.com,US,1,246004,0
essentiallysports.com,CA,4,319712,0
zbl.basketball,CZ,0,228969,223631
poradna.net,SK,0,651705,4
proseolinksdirectory.com,US,3,0,1
wayranks.com,US,9,0,2
tvsport.pl,US,20,0,1
adzbusiness.com,US,2,0,1
updownradar.com,US,6,0,2
toptohigh.com,US,1,0,1
kijkdirect.nl,NL,4,0,52
anderbot.com,US,1,0,2
raretopsitesdirectory.com,US,2,0,1
neweumarket.com,HR,2,0,3
teledirecto.es,NL,3,0,26
rankerdirectory.com,US,2,0,1
pklea.com,US,2,0,1
listodirectory.com,US,7,0,1
rankwebdirectory.com,US,2,0,1
clicktoselldirectoy.com,US,5,0,1
senalnews.com,US,8,0,2
seohelperdirectory.com,US,5,0,1
worldwidetopsite.com,US,5,0,1
dotpim.com,US,3,0,1
aligow.com,US,3,0,1
beyondkick.com,US,43,0,1
gigbic.com,US,3,0,1
mantaw.com,US,3,0,1
zlutag.com,US,3,0,1
yellii.com,US,3,0,1
zomatt.com,US,3,0,1
aifsy.com,US,2,0,1
linksnewses.com,SG,3,0,1
bilalarticles.com,US,1,0,1
bestsitesdirectory.com,US,3,0,1
classifieddirectoy.com,US,5,0,1
busniessdirectory.com,US,5,0,1
zoacum.com,US,4,0,1
faucre.com,US,2,0,1
idyler.com,US,2,0,1
99sitedirectory.com,US,4,0,1
mundoalbiceleste.com,CA,1,242264,0
absmho.com,US,4,0,1
motor.es,US,1,248278,0
icassct.com,IN,1,0,1
edgecompute.app,US,1,429303,0
linkanews.com,SG,4,0,1
dailyupdatez.com,LT,1,329531,0
ylutag.com,US,2,0,1
sportcentral.cz,US,0,637528,5
yelpad.com,US,2,0,1
hotfri.com,US,3,0,1
xyloyl.com,US,3,0,1
rakily.com,US,4,0,1
worldwidetopsite.link,US,3,0,1
farleu.com,US,2,0,1
papaly.com,US,1,0,1
tvdirecto.com.pt,NL,4,0,26
linkddl.com,US,23,0,2
backlinktime.com,US,1,0,1
thegeekiary.com,US,1,302761,0
fandimeserialum.cz,CZ,0,438279,8
firstsportz.com,US,6,235205,0
hdsatelit.com,US,0,665234,2193
tvsport24.de,US,18,0,1
partite-in-diretta.it,US,20,0,1
matches-today.net,US,17,0,1
live-sport-tv.fr,US,20,0,1
trypl.com,DE,1,693508,0
jogos-de-hoje.com,US,20,0,1
partidos-en-vivo.com,US,20,0,1
glotzdirekt.de,NL,4,0,52
eloadas.tv,NL,3,0,26
sportsdunia.com,US,18,0,11
thedailycheck.net,US,1,227548,0
au-e.com,US,75,0,5
tvsport24.fr,US,20,0,1
luckavondrackova.cz,CZ,0,632613,3
microlinkinc.com,US,3,0,1
urllinking.com,US,5,0,1
updownsite.com,US,52,0,4
blauwwit.be,NL,14,659491,0
kijkdirect.be,NL,3,0,26
tecupdate.com,US,11,0,1
watchtvnow.co.uk,NL,4,0,26
markiza.io,SK,0,614176,1
masterlist.tv,US,4,0,81
glotzdirekt.at,NL,4,0,26
tvlive.se,NL,2,0,52
mtenis.com.pl,PL,42,852609,0
eigolink.net,US,1,0,1
live-sport-online.de,US,20,0,1
tvsport365.com,US,20,0,1
nyhetskoll.se,US,1,1156655,0
masterscore.org,US,1,0,2
trakkertv.com,US,1,0,10
moviehd.life,US,1,0,11
prolinkseo.com,US,2,0,1
yeaforums.com,US,1,737218,0
partidos-hoy.com,US,20,0,1
fotnet24.net,US,142,0,14
streamcentral.live,US,1,0,4
cyazer.com,US,48,268379,0
sedirekte.com,NL,4,0,26
repithwin.com,US,10,230008,0
spursfancave.com,US,1,434629,0
tvswiss.ch,NL,3,0,26
tvnextseason.com,US,1,0,5
